Age,Gender,edu_level,EP1,EP2,EP3,EP4,EP5,SCTB1,SCTB2,SCTB3,SCTB4,SCTB5,CR1,CR2,CR3,T1,T2,T3,T4,PS1,PS2,PS3,PS4,PS5
24,2,5,4,4,5,5,5,1,1,1,1,5,4,5,5,4,4,5,4,5,4,3,4,4
35,1,4,1,5,3,3,5,5,5,3,3,3,4,5,4,5,4,5,5,5,5,5,5,5
18,2,3,5,5,5,5,5,3,4,3,3,3,4,5,4,4,4,4,4,4,5,4,4,4
22,2,4,4,4,4,3,4,4,4,5,5,5,3,4,4,5,3,4,4,4,4,4,4,4
27,1,5,5,5,5,3,5,1,1,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5
42,2,3,5,5,5,5,5,5,5,5,5,5,5,5,5,5,3,5,3,5,5,5,5,5
34,1,5,3,3,3,3,3,3,3,3,3,3,1,3,3,3,3,3,3,3,3,3,3,3
52,2,4,4,3,3,3,3,2,1,2,2,4,4,4,4,4,4,4,4,4,4,4,4,4
18,2,4,5,5,5,5,5,1,3,3,3,3,5,5,5,5,5,5,5,5,5,4,5,5
29,2,5,5,5,5,5,5,3,3,4,4,5,4,3,3,5,4,5,4,5,4,4,4,4
40,2,5,5,5,5,5,5,3,3,4,3,2,5,5,5,5,4,5,5,4,5,4,4,4
40,1,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
29,2,4,4,5,5,5,4,4,5,3,4,5,4,4,4,4,4,5,5,5,5,4,4,5
27,1,4,5,5,5,5,5,1,1,1,1,1,4,4,4,4,4,4,5,4,5,5,5,5
41,2,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,4,3
45,2,3,5,5,5,5,5,1,5,3,3,5,5,5,5,5,5,5,5,5,5,5,5,5
29,2,4,5,5,5,5,5,5,3,4,5,5,4,5,5,4,4,5,5,5,5,5,4,5
50,1,2,5,5,5,5,5,3,3,3,3,3,5,5,5,5,5,5,5,5,5,4,5,5
33,2,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
22,2,4,4,3,4,4,4,2,1,1,1,1,3,4,4,4,4,4,4,4,4,4,3,4
35,2,3,4,4,4,4,5,3,3,4,5,5,5,5,3,5,4,4,5,4,5,5,5,5
18,2,3,5,4,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,4,5,4,5,5
21,1,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
19,1,4,4,4,4,4,4,5,4,4,5,5,4,3,4,3,3,3,3,3,4,2,3,3
19,1,3,4,3,2,3,4,1,1,3,2,1,3,4,3,3,3,4,4,3,2,3,4,3
20,2,4,5,3,5,5,5,1,1,1,5,5,5,3,5,5,4,5,5,5,5,5,5,5
21,1,4,4,2,3,4,3,1,1,1,1,3,3,3,3,3,3,3,4,3,3,3,2,3
25,2,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,4,5,5,5,5,5,5
